[2025-05-22 13:48:39.786 | info | PId: 48596 | TId: 55364] Enable debug log = 1 from (DD_TRACE_DEBUG environment variable)
[2025-05-22 13:48:39.787 | info | PId: 48596 | TId: 55364] Crashtracking - Registering unhandled exception filter.
[2025-05-22 13:48:39.787 | warning | PId: 48596 | TId: 55364] Crashtracking - Failed to get module handle for coreclr.dll or clr.dll
[2025-05-22 13:48:39.787 | debug | PId: 48596 | TId: 55364] Crashtracking - Registering the crash handler C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
[2025-05-22 13:48:39.787 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration:  Setting environment variable: DD_INTERNAL_NATIVE_LOADER_PATH=C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
[2025-05-22 13:48:39.787 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: SetEnvironmentValue result: 1
[2025-05-22 13:48:39.788 | info | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: Reading configuration file from: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x64\\loader.conf"
[2025-05-22 13:48:39.788 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: Config Folder: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x64\\"
[2025-05-22 13:48:39.788 | debug | PId: 48596 | TId: 55364] #Profiler
[2025-05-22 13:48:39.788 | debug | PId: 48596 | TId: 55364] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};win-x64;.\Datadog.Profiler.Native.dll
[2025-05-22 13:48:39.788 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] Loading: .\Datadog.Profiler.Native.dll [AbsolutePath=C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Profiler.Native.dll] (win-x64)
[2025-05-22 13:48:39.788 | debug | PId: 48596 | TId: 55364] [PROFILER] Creating a new DynamicInstance object
[2025-05-22 13:48:39.788 | debug | PId: 48596 | TId: 55364] Load: C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Profiler.Native.dll
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] GetFunction: DllGetClassObject
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] GetFunction: DllCanUnloadNow
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] Setting environment variable: DD_INTERNAL_PROFILING_NATIVE_ENGINE_PATH=C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Profiler.Native.dll
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] SetEnvironmentValue result: 1
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};win-x86;.\Datadog.Profiler.Native.dll
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};linux-x64;./Datadog.Profiler.Native.so
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};linux-musl-x64;./Datadog.Profiler.Native.so
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};linux-arm64;./Datadog.Profiler.Native.so
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};linux-musl-arm64;./Datadog.Profiler.Native.so
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] #Tracer
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};win-arm64;.\Datadog.Tracer.Native.dll
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};win-x64;.\Datadog.Tracer.Native.dll
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: [TRACER] Loading: .\Datadog.Tracer.Native.dll [AbsolutePath=C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Tracer.Native.dll] (win-x64)
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] [TRACER] Creating a new DynamicInstance object
[2025-05-22 13:48:39.799 | debug | PId: 48596 | TId: 55364] Load: C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Tracer.Native.dll
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] GetFunction: DllGetClassObject
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] GetFunction: DllCanUnloadNow
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: [TRACER] Setting environment variable: DD_INTERNAL_TRACE_NATIVE_ENGINE_PATH=C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Tracer.Native.dll
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] DynamicDispatcherImpl::LoadConfiguration: [TRACER] SetEnvironmentValue result: 1
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};win-x86;.\Datadog.Tracer.Native.dll
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};linux-x64;./Datadog.Tracer.Native.so
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};linux-musl-x64;./Datadog.Tracer.Native.so
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};linux-arm64;./Datadog.Tracer.Native.so
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};linux-musl-arm64;./Datadog.Tracer.Native.so
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};osx-x64;./Datadog.Tracer.Native.dylib
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};osx-arm64;./Datadog.Tracer.Native.dylib
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] DllGetClassObject
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] CorProfilerClassFactory::.ctor
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] CorProfilerClassFactory::QueryInterface
[2025-05-22 13:48:39.805 | debug | PId: 48596 | TId: 55364] CorProfilerClassFactory::AddRef
[2025-05-22 13:48:39.807 | info | PId: 48596 | TId: 55364] DynamicInstanceImpl::LoadClassFactory: The IClassFactory from C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Profiler.Native.dll is disabled
[2025-05-22 13:48:39.807 | debug | PId: 48596 | TId: 55364] DynamicInstanceImpl::LoadClassFactory: -2146233483
[2025-05-22 13:48:39.807 | info | PId: 48596 | TId: 55364] The continuous profiler is disabled
[2025-05-22 13:48:39.807 | debug | PId: 48596 | TId: 55364] DynamicInstanceImpl::LoadClassFactory: 0
[2025-05-22 13:48:39.807 | debug | PId: 48596 | TId: 55364] CorProfilerClassFactory::CreateInstance
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::.ctor
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::QueryInterface
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] DynamicInstanceImpl::LoadInstance
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] DynamicInstanceImpl::LoadInstance: m_classFactory: e84b6c4afe7f0000
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] DynamicInstanceImpl::LoadInstance: 0
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfilerClassFactory::CreateInstance: 0
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfilerClassFactory::Release
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::QueryInterface
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::QueryInterface
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::QueryInterface
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::AddRef
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::Initialize
[2025-05-22 13:48:39.808 | info | PId: 48596 | TId: 55364] ICorProfilerInfo12 available. Profiling API compatibility: .NET Core 5.0 or later.
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] ProcessName: dd-trace.exe
[2025-05-22 13:48:39.808 | debug | PId: 48596 | TId: 55364] CorProfiler::Initialize
[2025-05-22 13:48:39.808 | info | PId: 48596 | TId: 55364] CorProfiler::Initialize ClrProfiler disabled: dd-trace.exe found in default exclude list
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:39.809 | debug | PId: 48596 | TId: 55364] CorProfiler::Release
[2025-05-22 13:48:40.382 | debug | PId: 48596 | TId: 55364] DllMain: DLL_PROCESS_DETACH
[2025-05-22 13:48:40.382 | debug | PId: 48596 | TId: 55364] Crashtracking - Unregistering crash handler: 0
