05/13/25 10:50:35.795 AM [15336|3080] [info] Datadog CLR Profiler 3.16.0 on Windows (amd64)
05/13/25 10:50:35.796 AM [15336|3080] [info] ProcessName: Fcm.Apps.DealInsight.exe
05/13/25 10:50:35.796 AM [15336|3080] [info] Process CommandLine: "\\FCSFDIGASD1\TemporaryData\DI_ROBB\Fcm.Apps.DealInsight.exe" 
05/13/25 10:50:35.796 AM [15336|3080] [info] Environment variables:
05/13/25 10:50:35.796 AM [15336|3080] [info]   DD_DOTNET_TRACER_HOME=C:\Program Files\Datadog\.NET Tracer\
05/13/25 10:50:35.796 AM [15336|3080] [info]   DD_ENV=dev1
05/13/25 10:50:35.797 AM [15336|3080] [info]   DD_VERSION=7.64.3
05/13/25 10:50:35.797 AM [15336|3080] [info] Runtime Information: .NET Framework 4.0.30319
05/13/25 10:50:35.797 AM [15336|23332] [info] Initializing ReJIT request thread.
05/13/25 10:50:35.797 AM [15336|3080] [info] IAST Callsite instrumentation is disabled.
05/13/25 10:50:35.797 AM [15336|3080] [info] RASP Callsite instrumentation is disabled.
05/13/25 10:50:35.797 AM [15336|3080] [info] Callsite instrumentation is disabled.
05/13/25 10:50:35.797 AM [15336|3080] [info] Profiler filepath: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/13/25 10:50:35.797 AM [15336|3080] [info] Profiler attached.
05/13/25 10:50:35.809 AM [15336|3080] [info] COR library: mscorlib 4.0.0
05/13/25 10:50:35.880 AM [15336|3080] [info] JITCompilationStarted: Startup hook registered in function_id=140703859197024 token=100663306 name=Fcm.Apps.DealInsight.FrmMain.Main(), assembly_name=Fcm.Apps.DealInsight app_domain_id=1953672107984 domain_neutral=0
05/13/25 10:50:35.911 AM [15336|3080] [info] ModuleLoadFinished: Datadog.Trace.ClrProfiler.Managed.Loader loaded into AppDomain 1953672107984 Fcm.Apps.DealInsight.exe
05/13/25 10:50:35.964 AM [15336|3080] [info] ModuleLoadFinished: Datadog.Trace v3.16.0.0 - Fix PInvoke maps
05/13/25 10:50:35.965 AM [15336|3080] [info] Rewriting PInvokes to native for Datadog.Trace.ClrProfiler.NativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/13/25 10:50:35.967 AM [15336|3080] [info] Rewriting PInvokes to native for Datadog.Trace.Debugger.PInvoke.DebuggerNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/13/25 10:50:35.967 AM [15336|3080] [info] Rewriting PInvokes to native for Datadog.Trace.FaultTolerant.FaultTolerantNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/13/25 10:50:35.967 AM [15336|3080] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Exporter: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/13/25 10:50:35.967 AM [15336|3080] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Config: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
