05/06/25 12:30:20.710 PM [21240|8564] [info] Datadog CLR Profiler 3.16.0 on Windows (amd64)
05/06/25 12:30:20.711 PM [21240|8564] [info] ProcessName: Fcm.Apps.DealInsight.exe
05/06/25 12:30:20.712 PM [21240|8564] [info] Process CommandLine: "\\FCSFDIGASD1\TemporaryData\DI_ROBB\Fcm.Apps.DealInsight.exe" 
05/06/25 12:30:20.712 PM [21240|8564] [info] Environment variables:
05/06/25 12:30:20.712 PM [21240|8564] [info]   DD_DOTNET_TRACER_HOME=C:\Program Files\Datadog\.NET Tracer\
05/06/25 12:30:20.712 PM [21240|8564] [info]   DD_ENV=dev1
05/06/25 12:30:20.712 PM [21240|8564] [info]   DD_VERSION=7.64.3
05/06/25 12:30:20.712 PM [21240|8564] [info] Runtime Information: .NET Framework 4.0.30319
05/06/25 12:30:20.712 PM [21240|22928] [info] Initializing ReJIT request thread.
05/06/25 12:30:20.712 PM [21240|8564] [info] IAST Callsite instrumentation is disabled.
05/06/25 12:30:20.712 PM [21240|8564] [info] RASP Callsite instrumentation is disabled.
05/06/25 12:30:20.712 PM [21240|8564] [info] Callsite instrumentation is disabled.
05/06/25 12:30:20.712 PM [21240|8564] [info] Profiler filepath: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/06/25 12:30:20.712 PM [21240|8564] [info] Profiler attached.
05/06/25 12:30:20.723 PM [21240|8564] [info] COR library: mscorlib 4.0.0
05/06/25 12:30:21.238 PM [21240|8564] [info] JITCompilationStarted: Startup hook registered in function_id=140724611040352 token=100663306 name=Fcm.Apps.DealInsight.FrmMain.Main(), assembly_name=Fcm.Apps.DealInsight app_domain_id=1652615182464 domain_neutral=0
05/06/25 12:30:21.646 PM [21240|8564] [info] ModuleLoadFinished: Datadog.Trace.ClrProfiler.Managed.Loader loaded into AppDomain 1652615182464 Fcm.Apps.DealInsight.exe
05/06/25 12:30:21.735 PM [21240|8564] [info] ModuleLoadFinished: Datadog.Trace v3.16.0.0 - Fix PInvoke maps
05/06/25 12:30:21.735 PM [21240|8564] [info] Rewriting PInvokes to native for Datadog.Trace.ClrProfiler.NativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/06/25 12:30:21.738 PM [21240|8564] [info] Rewriting PInvokes to native for Datadog.Trace.Debugger.PInvoke.DebuggerNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/06/25 12:30:21.739 PM [21240|8564] [info] Rewriting PInvokes to native for Datadog.Trace.FaultTolerant.FaultTolerantNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/06/25 12:30:21.739 PM [21240|8564] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Exporter: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/06/25 12:30:21.739 PM [21240|8564] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Config: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/06/25 12:30:21.747 PM [21240|8564] [info] Rewriting PInvokes to native for Datadog.Trace.NativeLoader+NativeMethods: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
05/06/25 12:30:21.750 PM [21240|8564] [info] Successfully added method DistributedTracer.__GetInstanceForProfiler__ for ModuleID=140724612932680
05/06/25 12:30:21.750 PM [21240|8564] [info] Rewriting Instrumentation.GetNativeTracerVersion() => PROFILER_VERSION
05/06/25 12:30:21.750 PM [21240|8564] [info] AssemblyLoadFinished: Datadog.Trace.dll v3.16.0.0 matched profiler version v3.16.0.0
05/06/25 12:30:21.750 PM [21240|8564] [info] ByRef Instrumentation enabled.
05/06/25 12:30:21.750 PM [21240|8564] [info] CallTargetState ByRef enabled.
05/06/25 12:30:21.750 PM [21240|8564] [info] AddTraceAttributeInstrumentation: Initialized assembly=Datadog.Trace, Version=3.16.0.0, Culture=neutral, PublicKeyToken=def86d061d0d2eeb, type=Datadog.Trace.ClrProfiler.AutoInstrumentation.TraceAnnotations.TraceAnnotationsIntegration
05/06/25 12:30:21.750 PM [21240|8564] [info] AssemblyLoadFinished: Datadog.Trace.dll was not loaded domain-neutral
05/06/25 12:30:22.609 PM [21240|8564] [info] Total number of modules to analyze: 6
05/06/25 12:30:22.700 PM [21240|22928] [info] Request ReJIT done for 12 methods
05/06/25 12:30:22.700 PM [21240|8564] [info] RegisterCallTargetDefinitions: Added 718 call targets (enabled: 581, enabled categories: 1) 
05/06/25 12:30:22.729 PM [21240|26532] [info] [ResolveType] GetTypeRefProps [1] has failed. typeRefToken: 16777813
05/06/25 12:30:22.730 PM [21240|26532] [info] *** CallTarget_RewriterCallback() Finished: System.Net.HttpWebRequest.BeginGetRequestStream() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.WebRequest.HttpWebRequest_BeginGetRequestStream_Integration, Arguments=2]
05/06/25 12:30:22.800 PM [21240|26532] [info] *** CallTarget_RewriterCallback() Finished: System.Net.WebRequest.GetResponseAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.WebRequest.WebRequest_GetResponseAsync_Integration, Arguments=0]
05/06/25 12:30:22.808 PM [21240|23208] [info] *** CallTarget_RewriterCallback() Finished: System.Net.HttpWebRequest.BeginGetResponse() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.WebRequest.HttpWebRequest_BeginGetResponse_Integration, Arguments=2]
05/06/25 12:30:22.816 PM [21240|24696] [info] *** CallTarget_RewriterCallback() Finished: System.Net.HttpWebRequest.EndGetResponse() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.WebRequest.HttpWebRequest_EndGetResponse_Integration, Arguments=1]
05/06/25 12:30:27.799 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:30:31.767 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:30:33.006 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:30:35.351 PM [21240|22928] [info] Request ReJIT done for 36 methods
05/06/25 12:30:40.661 PM [21240|8564] [info] *** CallTarget_RewriterCallback() Finished: System.Data.SqlClient.SqlCommand.ExecuteScalar() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.AdoNet.CommandExecuteScalarIntegration, Arguments=0]
05/06/25 12:30:40.959 PM [21240|8564] [info] *** CallTarget_RewriterCallback() Finished: System.Data.SqlClient.SqlCommand.ExecuteNonQuery() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.AdoNet.CommandExecuteNonQueryIntegration, Arguments=0]
05/06/25 12:30:41.095 PM [21240|8564] [info] *** CallTarget_RewriterCallback() Finished: System.Data.SqlClient.SqlCommand.ExecuteDbDataReader() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.AdoNet.CommandExecuteReaderWithBehaviorIntegration, Arguments=1]
05/06/25 12:30:45.317 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:30:46.330 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:30:47.536 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:30:48.799 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:30:51.582 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:30:56.892 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:01.580 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:12.017 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:18.897 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
