05/20/25 08:47:57.721 AM [22584|39368] [info] Datadog CLR Profiler 3.16.0 on Windows (amd64)
05/20/25 08:47:57.722 AM [22584|39368] [info] ProcessName: formsample.exe
05/20/25 08:47:57.722 AM [22584|39368] [info] Process CommandLine: "C:\Users\rroehl\projects\DataDog\formsample\bin\Debug\net8.0-windows\formsample.exe" 
05/20/25 08:47:57.722 AM [22584|39368] [info] Environment variables:
05/20/25 08:47:57.722 AM [22584|39368] [info]   DD_DOTNET_TRACER_HOME=C:\Program Files\Datadog\.NET Tracer\
05/20/25 08:47:57.722 AM [22584|39368] [info]   DD_ENV=dev1
05/20/25 08:47:57.723 AM [22584|39368] [info]   DD_VERSION=7.64.3
05/20/25 08:47:57.723 AM [22584|39368] [info] Runtime Information: .NET 8.0.16
05/20/25 08:47:57.723 AM [22584|30996] [info] Initializing ReJIT request thread.
05/20/25 08:47:57.723 AM [22584|39368] [info] IAST Callsite instrumentation is disabled.
05/20/25 08:47:57.723 AM [22584|39368] [info] RASP Callsite instrumentation is disabled.
05/20/25 08:47:57.723 AM [22584|39368] [info] Callsite instrumentation is disabled.
05/20/25 08:47:57.723 AM [22584|39368] [info] Profiler filepath: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/20/25 08:47:57.723 AM [22584|39368] [info] Profiler attached.
05/20/25 08:47:57.725 AM [22584|39368] [info] COR library: System.Private.CoreLib 8.0.0
05/20/25 08:47:57.759 AM [22584|39368] [info] JITCompilationStarted: Startup hook registered in function_id=140726856188152 token=100663298 name=formsample.Program.Main(), assembly_name=formsample app_domain_id=2222362378048 domain_neutral=0
05/20/25 08:47:57.770 AM [22584|39368] [info] ModuleLoadFinished: Datadog.Trace.ClrProfiler.Managed.Loader loaded into AppDomain 2222362378048 clrhost
05/20/25 08:47:57.829 AM [22584|39368] [info] ModuleLoadFinished: Datadog.Trace v3.16.0.0 - Fix PInvoke maps
05/20/25 08:47:57.829 AM [22584|39368] [info] Rewriting PInvokes to native for Datadog.Trace.ClrProfiler.NativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/20/25 08:47:57.831 AM [22584|39368] [info] Rewriting PInvokes to native for Datadog.Trace.Debugger.PInvoke.DebuggerNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/20/25 08:47:57.831 AM [22584|39368] [info] Rewriting PInvokes to native for Datadog.Trace.FaultTolerant.FaultTolerantNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/20/25 08:47:57.831 AM [22584|39368] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Exporter: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/20/25 08:47:57.831 AM [22584|39368] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Config: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/20/25 08:47:57.835 AM [22584|39368] [info] Rewriting PInvokes to native for Datadog.Trace.NativeLoader+NativeMethods: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
05/20/25 08:47:57.836 AM [22584|39368] [info] Successfully added method DistributedTracer.__GetInstanceForProfiler__ for ModuleID=140726859415000
05/20/25 08:47:57.837 AM [22584|39368] [info] Rewriting Instrumentation.GetNativeTracerVersion() => PROFILER_VERSION
05/20/25 08:47:57.837 AM [22584|39368] [info] AssemblyLoadFinished: Datadog.Trace.dll v3.16.0.0 matched profiler version v3.16.0.0
05/20/25 08:47:57.837 AM [22584|39368] [info] ByRef Instrumentation enabled.
05/20/25 08:47:57.837 AM [22584|39368] [info] CallTargetState ByRef enabled.
05/20/25 08:47:57.837 AM [22584|39368] [info] AddTraceAttributeInstrumentation: Initialized assembly=Datadog.Trace, Version=3.16.0.0, Culture=neutral, PublicKeyToken=def86d061d0d2eeb, type=Datadog.Trace.ClrProfiler.AutoInstrumentation.TraceAnnotations.TraceAnnotationsIntegration
05/20/25 08:47:58.081 AM [22584|39368] [info] Total number of modules to analyze: 19
05/20/25 08:47:58.102 AM [22584|30996] [info] Request ReJIT done for 10 methods
05/20/25 08:47:58.102 AM [22584|39368] [info] RegisterCallTargetDefinitions: Added 718 call targets (enabled: 578, enabled categories: 1) 
05/20/25 08:47:58.103 AM [22584|7600] [info] NGEN:: Processed with 5 inliners [ModuleId=140726865734312,MethodDef=100665944]
05/20/25 08:47:58.103 AM [22584|30996] [info] Request ReJIT done for 5 methods
05/20/25 08:47:58.105 AM [22584|8704] [info] *** CallTarget_RewriterCallback() Finished: System.Net.Http.HttpClientHandler.SendAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.HttpClient.HttpClientHandler.HttpClientHandlerIntegration, Arguments=2]
05/20/25 08:47:58.167 AM [22584|8704] [info] *** CallTarget_RewriterCallback() Finished: System.Net.Http.SocketsHttpHandler.SendAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.HttpClient.SocketsHttpHandler.SocketsHttpHandlerIntegration, Arguments=2]
05/20/25 08:49:03.540 AM [22584|30996] [info] Request ReJIT done for 11 methods
05/20/25 08:49:03.548 AM [22584|30996] [info] Request ReJIT done for 11 methods
05/20/25 08:49:03.563 AM [22584|30996] [info] Request ReJIT done for 1 methods
05/20/25 08:49:03.643 AM [22584|39368] [info] *** CallTarget_RewriterCallback() Finished: Npgsql.NpgsqlCommand.ExecuteReaderAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.AdoNet.CommandExecuteReaderWithBehaviorAndCancellationAsyncIntegration, Arguments=2]
05/20/25 08:54:37.004 AM [22584|30996] [info] Exiting ReJIT request thread.
05/20/25 08:54:37.005 AM [22584|39368] [info] Exiting...
05/20/25 08:54:37.005 AM [22584|39368] [info] Stats: Total time: 399276ms | Total time in Callbacks: 217ms [Initialize=0ms, ModuleLoadFinished=48ms/69, CallTargetRequestRejit=38ms/27, CallTargetRewriter=3ms/3, AssemblyLoadFinished=0ms/69, ModuleUnloadStarted=0ms/0, JitCompilationStarted=72ms/13976, JitInlining=9ms/48882, JitCacheFunctionSearchStarted=43ms/7003, InitializeProfiler=0ms/0]
