05/22/25 08:31:59.042 AM [30904|55196] [info] Datadog CLR Profiler 3.16.0 on Windows (x86)
05/22/25 08:31:59.043 AM [30904|55196] [info] ProcessName: git-credential-manager.exe
05/22/25 08:31:59.043 AM [30904|55196] [info] Process CommandLine: git-credential-manager get
05/22/25 08:31:59.043 AM [30904|55196] [info] Environment variables:
05/22/25 08:31:59.043 AM [30904|55196] [info]   DD_DOTNET_TRACER_HOME=C:\Program Files\Datadog\.NET Tracer\
05/22/25 08:31:59.043 AM [30904|55196] [info]   DD_ENV=dev1
05/22/25 08:31:59.043 AM [30904|55196] [info]   DD_VERSION=7.64.3
05/22/25 08:31:59.043 AM [30904|55196] [info] Runtime Information: .NET Framework 4.0.30319
05/22/25 08:31:59.044 AM [30904|55196] [info] IAST Callsite instrumentation is disabled.
05/22/25 08:31:59.044 AM [30904|55196] [info] RASP Callsite instrumentation is disabled.
05/22/25 08:31:59.044 AM [30904|55196] [info] Callsite instrumentation is disabled.
05/22/25 08:31:59.044 AM [30904|55196] [info] Profiler filepath: C:\Program Files\Datadog\.NET Tracer\win-x86\Datadog.Tracer.Native.dll
05/22/25 08:31:59.044 AM [30904|55196] [info] Profiler attached.
05/22/25 08:31:59.044 AM [30904|56132] [info] Initializing ReJIT request thread.
05/22/25 08:31:59.053 AM [30904|55196] [info] COR library: mscorlib 4.0.0
05/22/25 08:31:59.058 AM [30904|55196] [info] JITCompilationStarted: Startup hook registered in function_id=36523540 token=100663299 name=GitCredentialManager.Program.Main(), assembly_name=git-credential-manager app_domain_id=11048384 domain_neutral=0
05/22/25 08:31:59.069 AM [30904|55196] [info] ModuleLoadFinished: Datadog.Trace.ClrProfiler.Managed.Loader loaded into AppDomain 11048384 git-credential-manager.exe
05/22/25 08:31:59.147 AM [30904|55196] [info] ModuleLoadFinished: Datadog.Trace v3.16.0.0 - Fix PInvoke maps
05/22/25 08:31:59.147 AM [30904|55196] [info] Rewriting PInvokes to native for Datadog.Trace.ClrProfiler.NativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x86\Datadog.Tracer.Native.dll
05/22/25 08:31:59.149 AM [30904|55196] [info] Rewriting PInvokes to native for Datadog.Trace.Debugger.PInvoke.DebuggerNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x86\Datadog.Tracer.Native.dll
05/22/25 08:31:59.149 AM [30904|55196] [info] Rewriting PInvokes to native for Datadog.Trace.FaultTolerant.FaultTolerantNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x86\Datadog.Tracer.Native.dll
05/22/25 08:31:59.149 AM [30904|55196] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Exporter: C:\Program Files\Datadog\.NET Tracer\win-x86\datadog_profiling_ffi.dll
05/22/25 08:31:59.150 AM [30904|55196] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Config: C:\Program Files\Datadog\.NET Tracer\win-x86\datadog_profiling_ffi.dll
05/22/25 08:31:59.154 AM [30904|55196] [info] Rewriting PInvokes to native for Datadog.Trace.NativeLoader+NativeMethods: C:\Program Files\Datadog\.NET Tracer\win-x86\Datadog.Trace.ClrProfiler.Native.dll
05/22/25 08:31:59.155 AM [30904|55196] [info] Successfully added method DistributedTracer.__GetInstanceForProfiler__ for ModuleID=36535960
05/22/25 08:31:59.155 AM [30904|55196] [info] Rewriting Instrumentation.GetNativeTracerVersion() => PROFILER_VERSION
05/22/25 08:31:59.155 AM [30904|55196] [info] AssemblyLoadFinished: Datadog.Trace.dll v3.16.0.0 matched profiler version v3.16.0.0
05/22/25 08:31:59.155 AM [30904|55196] [info] ByRef Instrumentation enabled.
05/22/25 08:31:59.155 AM [30904|55196] [info] CallTargetState ByRef enabled.
05/22/25 08:31:59.155 AM [30904|55196] [info] AddTraceAttributeInstrumentation: Initialized assembly=Datadog.Trace, Version=3.16.0.0, Culture=neutral, PublicKeyToken=def86d061d0d2eeb, type=Datadog.Trace.ClrProfiler.AutoInstrumentation.TraceAnnotations.TraceAnnotationsIntegration
05/22/25 08:31:59.155 AM [30904|55196] [info] AssemblyLoadFinished: Datadog.Trace.dll was not loaded domain-neutral
05/22/25 08:31:59.485 AM [30904|55196] [info] Total number of modules to analyze: 4
05/22/25 08:31:59.533 AM [30904|56132] [info] Request ReJIT done for 12 methods
05/22/25 08:31:59.533 AM [30904|55196] [info] RegisterCallTargetDefinitions: Added 718 call targets (enabled: 581, enabled categories: 1) 
05/22/25 08:31:59.547 AM [30904|56212] [info] [ResolveType] GetTypeRefProps [1] has failed. typeRefToken: 16777813
05/22/25 08:31:59.548 AM [30904|56212] [info] *** CallTarget_RewriterCallback() Finished: System.Net.HttpWebRequest.BeginGetRequestStream() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.WebRequest.HttpWebRequest_BeginGetRequestStream_Integration, Arguments=2]
05/22/25 08:31:59.583 AM [30904|56132] [info] Request ReJIT done for 1 methods
05/22/25 08:31:59.600 AM [30904|56212] [info] *** CallTarget_RewriterCallback() Finished: System.Net.WebRequest.GetResponseAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.WebRequest.WebRequest_GetResponseAsync_Integration, Arguments=0]
05/22/25 08:31:59.606 AM [30904|43980] [info] *** CallTarget_RewriterCallback() Finished: System.Net.HttpWebRequest.BeginGetResponse() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.WebRequest.HttpWebRequest_BeginGetResponse_Integration, Arguments=2]
05/22/25 08:31:59.614 AM [30904|29240] [info] *** CallTarget_RewriterCallback() Finished: System.Net.HttpWebRequest.EndGetResponse() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.WebRequest.HttpWebRequest_EndGetResponse_Integration, Arguments=1]
05/22/25 08:31:59.622 AM [30904|51672] [info] *** CallTarget_RewriterCallback() Finished: System.Diagnostics.Process.Start() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Process.ProcessStartIntegration, Arguments=0]
05/22/25 08:32:39.523 AM [30904|36040] [info] *** CallTarget_RewriterCallback() Finished: System.Net.Http.HttpClientHandler.SendAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.HttpClient.HttpClientHandler.HttpClientHandlerIntegration, Arguments=2]
05/22/25 08:32:41.722 AM [30904|56132] [info] Exiting ReJIT request thread.
05/22/25 08:32:41.723 AM [30904|55196] [info] Exiting...
05/22/25 08:32:41.723 AM [30904|55196] [info] Stats: Total time: 42678ms | Total time in Callbacks: 667ms [Initialize=0ms, ModuleLoadFinished=195ms/49, CallTargetRequestRejit=183ms/28, CallTargetRewriter=10ms/6, AssemblyLoadFinished=0ms/49, ModuleUnloadStarted=0ms/0, JitCompilationStarted=241ms/11208, JitInlining=28ms/66659, JitCacheFunctionSearchStarted=8ms/1405, InitializeProfiler=0ms/0]
